form,seq,domain,lethality_tier,concept,item_id,difficulty,stem,correct_choice,distractors
A,1,emergencies,1,Two failure modes,em-01,easy,"What are the two failure modes behind almost every tracheostomy emergency?","Obstruction and displacement","Infection and bleeding | Cuff rupture and stoma infection | Aspiration and pneumothorax"
A,2,emergencies,1,Removal sequence rationale,em-16,medium,"Why is the inner cannula removed before a suction catheter is passed, rather than suctioning through it?","Removing it often clears the plug instantly and confirms true patency","It reduces the risk of infection | It is required before any oxygen can be given | It lets the cuff be deflated safely"
A,3,emergencies,1,Catheter/ventilation interpretation,em-07,easy,"If a suction catheter passes freely well beyond the tip of the tracheostomy tube, what has this confirmed?","The tube is patent","The patient no longer needs oxygen | The cuff is properly inflated | The tract is mature"
A,4,emergencies,1,Fresh trach — false-passage risk,em-22,medium,"A nurse pushes a popped-out fresh trach back in and it slides in with no resistance at all — does this prove correct placement?","No — a false passage can accept the tube just as easily","Yes, resistance-free insertion always means correct placement | Yes, but only in patients over 65 | No, but only if the patient is coughing"
A,5,emergencies,1,False passage: danger & recognition,em-29,hard,"Beyond simply 'not working,' why is forcing a dislodged fresh trach back into a false passage actively dangerous rather than just ineffective?","It can cause surgical emphysema and gives false reassurance that delays the real fix","It always causes immediate cardiac arrest | It permanently destroys the tracheostomy stoma | It has no additional danger beyond simple obstruction"
A,6,emergencies,1,Laryngectomy O2 route / Red algorithm,em-20,medium,"Why does the NTSP Red algorithm never direct initial oxygenation effort at the face, not even briefly, for a laryngectomy patient?","It delivers no oxygen and wastes critical time","It can trigger a vasovagal response | It dries out the laryngectomy stoma | It is only skipped in pediatric laryngectomy patients"
A,7,emergencies,1,Displacement lethality / capnography,em-39,hard,"Why does a delayed recognition of displacement tend to be more immediately lethal, minute-for-minute, than a delayed recognition of obstruction?","Displacement can cause abrupt total loss of ventilation with little warning, unlike gradual obstruction","Obstruction is always more lethal than displacement | Displacement only occurs in patients already on a ventilator | Both carry identical time pressure in every case"
A,8,valves,1,Speaking valve prerequisite: cuff down,va-03,easy,"Before placing a speaking valve on a tracheostomy patient, what is the one absolute prerequisite regarding the cuff?","Cuff fully deflated","Cuff inflated to 20 cmH2O | Cuff partially deflated | Cuff status doesn't matter for valve use"
A,9,valves,1,Valve-over-inflated-cuff physiology,va-06,hard,"Walk through the exact physiological sequence that makes a speaking valve dangerous if the cuff is left inflated.","Air keeps entering but cannot exit, causing breath stacking","The cuff pops and the tube falls out | The valve fails to open on inhalation | Oxygen delivery through the valve is blocked"
A,10,valves,1,Valve contraindicated post-laryngectomy,va-07,easy,"True or false: a standard tracheostomy speaking valve can be used on a total laryngectomy patient.","False — there is no upper airway exit for exhaled air","True — it works the same as in a tracheostomy patient | True — but only if the cuff is inflated | False — but only because it isn't tolerated well"
A,11,valves,1,Cuff pressure: measure, do not habituate,va-22,hard,"Why is it unsafe to inflate a tracheostomy cuff to 'the usual 5 mL' by habit, without checking pressure?","Volume-to-pressure varies by tube and trachea, so a fixed volume is unreliable","5 mL is always too little for any adult trachea | Syringe inflation cannot reach therapeutic pressure | Cuffs lose air only through the pilot balloon, not the trachea"
A,12,valves,1,Suction-induced bradycardia/hypoxia,va-34,medium,"A patient's heart rate drops sharply while the suction catheter is still in the airway. What do you do immediately?","Stop suctioning and withdraw the catheter immediately","Continue suctioning to finish clearing secretions faster | Increase suction pressure to clear secretions quicker | Reposition the patient before withdrawing the catheter"
A,13,basics,1,Partial vs total neck breather,ba-01,easy,"What does it mean to call a tracheostomy patient a ""partial neck breather""?","Upper airway still connects to the lungs","Upper airway is permanently sealed off | They breathe only through the mouth | They have no tracheostomy tube in place"
A,14,basics,1,Desaturation O2 route,ba-03,easy,"A tracheostomy (partial neck breather) patient desaturates. Which route(s) can you use to give oxygen?","Face and stoma, either or both","Stoma only, never the face | Face only, never the stoma | Neither — bag immediately instead"
A,15,basics,1,Unsure trach vs laryngectomy — safest act,ba-06,easy,"You are unsure whether a crashing neck-airway patient is a tracheostomy or a laryngectomy. What is the single safest immediate action for oxygen delivery?","Apply oxygen to both the face and the stoma","Apply oxygen to the face only until confirmed | Apply oxygen to the stoma only until confirmed | Withhold oxygen until the chart is checked"
A,16,basics,1,Laryngectomy ventilation anatomy,ba-17,medium,"In one anatomical sentence, why does oxygen applied to the face do nothing for a total laryngectomy patient?","No anatomical path from mouth/nose to the lungs exists","The oxygen concentration is too low at the face | Laryngectomy patients cannot tolerate nasal cannulas | Their lungs no longer require external oxygen"
A,17,complications,2,Expanding neck hematoma → airway,co-04,medium,"An expanding neck hematoma is threatening the airway. Name the three things the bedside RN should be doing at once.","Call for help, bring airway cart, prep bedside wound opening","Call for help, order a CT, and wait | Reassure the patient and recheck vitals in 30 minutes | Apply ice and elevate the head of bed only"
A,18,complications,2,Tracheo-innominate fistula: temporize,co-21,easy,"You notice a tracheostomy tube pulsating with the heartbeat. What must you suspect?","Tracheo-innominate artery fistula","Normal tube movement with breathing | A sign the cuff needs more air | A sign of tube displacement only"
A,19,complications,2,Sentinel bleed / carotid blowout,co-19,hard,"Why does a sentinel bleed in a radiated, previously operated neck raise concern specifically for carotid blowout?","Radiation-damaged vessel wall is starting to fail","Sentinel bleeds are unrelated to vessel integrity | It indicates a new, unrelated wound infection | It only matters if the patient is anticoagulated"
A,20,complications,2,Free-flap venous vs arterial,co-06,easy,"On free flap checks, a dusky, blue, congested appearance points to which type of vascular compromise?","Venous compromise","Arterial compromise | Normal healing flap | Lymphedema"
A,21,complications,2,Subcutaneous emphysema red flag,co-33,easy,"You palpate crackling under the skin around a fresh tracheostomy site. What is this finding called?","Subcutaneous emphysema","Normal post-op swelling | Wound infection | An expected finding requiring no action"
A,22,daily,3,Humidification / mucus-plug prevention,da-04,easy,"What is one of the earliest bedside signs that a trach patient's secretions are becoming dangerously thick?","Secretions become thick, tenacious, or crusty","Secretions become thinner and more watery | The patient's voice suddenly improves | The stoma dressing stays perfectly dry"
A,23,daily,3,Silent deterioration / scheduled checks,da-19,hard,"Beyond routine hygiene, what specific airway risk does a scheduled inner cannula check catch that waiting for symptoms would miss?","It catches partial occlusion before it becomes a full obstruction","It confirms the outer cannula size is still correct | It verifies the patient's swallow function | It checks whether the cuff pressure is in range"
A,24,daily,3,Silent aspiration / swallow safety,da-33,hard,"Why can a trach patient aspirate SILENTLY even with the cuff inflated, with no coughing or choking to alert the nurse?","The trach blunts laryngeal sensation and the protective cough reflex","The cuff physically blocks all aspirated material from being felt | Silent aspiration is a myth in tracheostomy patients | It only happens when the cuff is fully deflated"
